 32 1202 2 180 684 657 657 1.75 0.95 0.707 0.247 -0.694 -0.527 0.779 0.724
 20.2 829 2 292 1276 685 685 1.07 0.7 0.707 1.184 1.425 1.51 8.149 1.297
 36.4 579 2 188 1116 1795 1795 1.24 1.15 0.707 0.312 -0.636 -0.638 0.783 0.801
 42.4 593 2 113 823 292 292 1.13 1.23 0.707 -0.304 -0.644 0.625 0.782 -0.795
 35 1266 2 199 900 1528 1528 1.3 0.81 0.707 0.403 -0.534 -0.757 0.818 0.787
 40.2 840 2 191 881 991 991 1.38 1.32 0.707 0.337 -0.611 -0.675 0.788 0.812
 22.8 1018 2 158 921 505 505 0.85 0.8 0.707 0.066 -0.784 -0.15 0.793 0.233
 29.6 80 2 258 1033 562 562 0.96 0.9 0.707 0.896 0.479 -0.222 3.028 -0.947
 30 1089 2 246 928 129 129 1.08 1.02 0.707 0.789 0.194 -0.557 2.065 -0.605
 40.5 1738 2 250 1010 1560 1560 1.14 1.4 0.707 0.83 0.299 -0.445 2.389 -0.768
 33.2 1360 2 202 999 795 795 0.97 1.05 0.707 0.427 -0.502 -0.781 0.836 0.758
 39 158 2 80 836 835 835 0.78 1.19 0.707 -0.575 -0.267 0.833 1.072 -0.361
 37.4 264 2 290 978 906 906 0.94 1.51 0.707 1.167 1.363 1.374 7.729 0.948
 26 236 2 113 850 641 641 0.78 0 0.707 -0.304 -0.644 0.625 0.782 -0.795
 34 377 2 97 933 379 379 0 0 0.707 -0.436 -0.491 0.788 0.843 -0.746
 29.2 1359 2 48 866 206 206 0.64 0.84 0.707 -0.838 0.321 0.421 2.461 0.796
 30 429 2 200 1090 154 154 0.85 0.91 0.707 0.411 -0.524 -0.765 0.824 0.779
 29.2 750 2 107 790 726 726 1.01 0.93 0.707 -0.353 -0.593 0.697 0.794 -0.813
 43.3 935 2 116 859 669 669 0.99 0.92 0.707 -0.279 -0.667 0.585 0.779 -0.771
 23.01 864 2 164 882 1637 1637 0 0 0.707 0.115 -0.77 -0.26 0.789 0.396
 19.4 976 2 230 1030 559 559 0.72 0.68 0.707 0.658 -0.107 -0.783 1.337 0.009
 28 158 2 262 976 1092 1092 0.82 0.8 0.707 0.929 0.573 -0.088 3.408 -0.983
 46.8 1327 2 192 906 757 757 0.85 1.32 0.707 0.345 -0.602 -0.686 0.791 0.813
 34.4 271 2 88 779 194 194 1.26 1.15 0.707 -0.51 -0.38 0.831 0.936 -0.582
 36.2 1219 2 140 886 1946 1946 0.71 1.01 0.707 -0.082 -0.78 0.187 0.792 -0.289
 46 1230 2 118 963 223 223 0.88 1.49 0.707 -0.263 -0.681 0.556 0.779 -0.75
 36 986 2 247 1160 1488 1488 1.2 1.2 0.707 0.797 0.215 -0.536 2.125 -0.639
 18.4 1078 2 10 693 1794 1794 0.46 0.46 0.707 -1.151 1.303 -1.243 7.327 -0.635
 47.6 1485 2 138 896 383 383 1.7 1.8 0.707 -0.099 -0.775 0.224 0.791 -0.343
 31 1756 2 114 935 902 902 0.81 0 0.707 -0.296 -0.652 0.612 0.781 -0.788
 34 879 2 14 841 1164 1164 1.32 1.11 0.707 -1.118 1.185 -0.995 6.574 -0.109
 32.6 116 2 17 809 377 377 1 0.83 0.707 -1.093 1.099 -0.822 6.053 0.204
 26.8 552 2 148 854 1038 1038 1.04 0.83 0.707 -0.016 -0.79 0.038 0.795 -0.059
 31.2 85 2 23 741 507 507 0.63 0.93 0.707 -1.044 0.932 -0.504 5.116 0.651
 37.6 85 2 295 1030 1098 1098 1.34 1.36 0.707 1.208 1.518 1.723 8.814 1.895
 36.8 1286 2 249 935 1208 1208 1.59 1.03 0.707 0.822 0.278 -0.469 2.32 -0.737
 31 1402 2 245 1043 1058 1058 1.17 1 0.707 0.781 0.174 -0.577 2.006 -0.569
 27.4 52 2 102 821 226 226 1.23 0.9 0.707 -0.395 -0.544 0.748 0.813 -0.795
 28 568 2 163 979 307 307 0.82 0.99 0.707 0.107 -0.773 -0.242 0.79 0.37
 18 643 2 215 982 419 419 0.62 0.65 0.707 0.534 -0.339 -0.836 0.98 0.506
 33 1345 2 216 1027 390 390 1.29 0.9 0.707 0.542 -0.325 -0.837 0.997 0.479
 42.8 1233 2 56 810 1559 1559 1.55 1.35 0.707 -0.773 0.153 0.596 1.949 0.533
 24.2 936 2 149 811 530 530 0.83 0.6 0.707 -0.008 -0.79 0.019 0.795 -0.03
 26.2 1281 2 218 920 173 173 0.87 0.8 0.707 0.559 -0.297 -0.836 1.032 0.422
 37 1205 2 115 1025 278 278 1.84 0.92 0.707 -0.288 -0.66 0.599 0.78 -0.78
